Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen;Ciudad de destino;Dia;;
08/07/2021;7;13/05/2021;34;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;8;;
08/07/2021;7;13/05/2021;58;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;8;;
09/07/2021;7;13/05/2021;46;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;9;;
09/07/2021;7;13/05/2021;72;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;9;;
10/07/2021;7;13/05/2021;38;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10;;
11/07/2021;7;13/05/2021;38;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;11;;
12/07/2021;7;13/05/2021;38;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;12;;
14/07/2021;7;13/05/2021;23;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14;;
15/07/2021;7;13/05/2021;58;€;True;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;15;;
16/07/2021;7;13/05/2021;34;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;16;;
16/07/2021;7;13/05/2021;130;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;16;;
17/07/2021;7;13/05/2021;34;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;17;;
17/07/2021;7;13/05/2021;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;17;;
18/07/2021;7;13/05/2021;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;18;;
19/07/2021;7;13/05/2021;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;19;;
20/07/2021;7;13/05/2021;34;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;20;;
20/07/2021;7;13/05/2021;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;20;;
21/07/2021;7;13/05/2021;35;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;21;;
22/07/2021;7;13/05/2021;34;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;22;;
22/07/2021;7;13/05/2021;58;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;22;;
23/07/2021;7;13/05/2021;45;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;23;;
23/07/2021;7;13/05/2021;122;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;23;;
24/07/2021;7;13/05/2021;34;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;24;;
24/07/2021;7;13/05/2021;66;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;24;;
25/07/2021;7;13/05/2021;45;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25;;
26/07/2021;7;13/05/2021;72;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;26;;
30/07/2021;7;13/05/2021;45;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30;;
30/07/2021;7;13/05/2021;122;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30;;
31/07/2021;7;13/05/2021;53;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;31;;
31/07/2021;7;13/05/2021;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;31;;
01/08/2021;8;13/05/2021;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;1;;
02/08/2021;8;13/05/2021;53;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;2;;
02/08/2021;8;13/05/2021;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;2;;
04/08/2021;8;13/05/2021;35;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;4;;
05/08/2021;8;13/05/2021;53;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;5;;
05/08/2021;8;13/05/2021;58;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;5;;
