Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen;Ciudad de destino;Dia
2021-06-23;6;2021-06-07;25;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;23
2021-06-23;6;2021-06-07;93;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;23
2021-06-24;6;2021-06-07;110;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;24
2021-06-24;6;2021-06-07;153;€;True;Iberia;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;24
2021-06-25;6;2021-06-07;74;€;True;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25
2021-06-26;6;2021-06-07;23;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;26
2021-06-27;6;2021-06-07;25;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;27
2021-06-27;6;2021-06-07;118;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;27
2021-06-28;6;2021-06-07;22;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;28
2021-06-30;6;2021-06-07;36;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30
2021-06-30;6;2021-06-07;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30
2021-07-01;7;2021-06-07;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;01
2021-07-01;7;2021-06-07;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;01
2021-07-02;7;2021-06-07;36;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;02
2021-07-02;7;2021-06-07;67;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;02
2021-07-03;7;2021-06-07;29;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;03
2021-07-04;7;2021-06-07;20;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;04
2021-07-05;7;2021-06-07;25;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;05
2021-07-07;7;2021-06-07;26;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;07
2021-07-08;7;2021-06-07;50;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;08
2021-07-08;7;2021-06-07;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;08
2021-07-09;7;2021-06-07;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;09
2021-07-09;7;2021-06-07;74;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;09
2021-07-10;7;2021-06-07;39;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10
2021-07-10;7;2021-06-07;40;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10
2021-07-11;7;2021-06-07;29;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;11
2021-07-12;7;2021-06-07;22;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;12
2021-07-13;7;2021-06-07;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;13
2021-07-13;7;2021-06-07;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;13
2021-07-14;7;2021-06-07;17;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14
