Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen;Ciudad de destino;Dia
2021-06-25;6;2021-06-05;74;€;True;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25
2021-06-26;6;2021-06-05;24;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;26
2021-06-27;6;2021-06-05;25;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;27
2021-06-27;6;2021-06-05;116;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;27
2021-06-28;6;2021-06-05;27;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;28
2021-06-29;6;2021-06-05;40;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
2021-06-29;6;2021-06-05;91;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
2021-06-30;6;2021-06-05;34;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30
2021-06-30;6;2021-06-05;74;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30
2021-07-01;7;2021-06-05;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;01
2021-07-01;7;2021-06-05;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;01
2021-07-02;7;2021-06-05;36;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;02
2021-07-02;7;2021-06-05;67;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;02
2021-07-03;7;2021-06-05;35;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;03
2021-07-04;7;2021-06-05;20;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;04
2021-07-05;7;2021-06-05;25;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;05
2021-07-06;7;2021-06-05;48;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;06
2021-07-06;7;2021-06-05;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;06
2021-07-07;7;2021-06-05;26;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;07
2021-07-08;7;2021-06-05;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;08
2021-07-08;7;2021-06-05;68;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;08
2021-07-09;7;2021-06-05;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;09
2021-07-09;7;2021-06-05;74;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;09
2021-07-10;7;2021-06-05;26;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10
2021-07-11;7;2021-06-05;29;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;11
2021-07-12;7;2021-06-05;22;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;12
2021-07-13;7;2021-06-05;48;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;13
2021-07-13;7;2021-06-05;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;13
2021-07-14;7;2021-06-05;17;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14
2021-07-15;7;2021-06-05;50;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;15
2021-07-15;7;2021-06-05;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;15
2021-07-16;7;2021-06-05;50;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;16
2021-07-16;7;2021-06-05;124;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;16
2021-07-17;7;2021-06-05;39;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;17
2021-07-17;7;2021-06-05;87;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;17
2021-07-18;7;2021-06-05;57;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;18
2021-07-18;7;2021-06-05;65;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;18
2021-07-19;7;2021-06-05;39;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;19
2021-07-19;7;2021-06-05;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;19
2021-07-20;7;2021-06-05;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;20
2021-07-20;7;2021-06-05;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;20
2021-07-21;7;2021-06-05;39;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;21
2021-07-21;7;2021-06-05;42;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;21
2021-07-22;7;2021-06-05;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;22
2021-07-22;7;2021-06-05;58;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;22
2021-07-23;7;2021-06-05;50;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;23
2021-07-23;7;2021-06-05;124;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;23
2021-07-24;7;2021-06-05;39;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;24
2021-07-24;7;2021-06-05;56;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;24
2021-07-25;7;2021-06-05;49;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25
2021-07-26;7;2021-06-05;38;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;26
2021-07-26;7;2021-06-05;42;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;26
2021-07-27;7;2021-06-05;38;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;27
2021-07-27;7;2021-06-05;74;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;27
2021-07-28;7;2021-06-05;33;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;28
2021-07-29;7;2021-06-05;38;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
2021-07-29;7;2021-06-05;58;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
