Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen;Ciudad de destino;Dia
02/06/2021;6;18/04/2021;56;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;2
02/06/2021;6;18/04/2021;141;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;2
05/06/2021;6;18/04/2021;14;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;5
07/06/2021;6;18/04/2021;14;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;7
10/06/2021;6;18/04/2021;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10
10/06/2021;6;18/04/2021;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10
11/06/2021;6;18/04/2021;36;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;11
11/06/2021;6;18/04/2021;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;11
13/06/2021;6;18/04/2021;36;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;13
13/06/2021;6;18/04/2021;58;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;13
14/06/2021;6;18/04/2021;14;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14
25/06/2021;6;18/04/2021;47;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25
25/06/2021;6;18/04/2021;74;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25
26/06/2021;6;18/04/2021;14;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;26
28/06/2021;6;18/04/2021;32;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;28
03/07/2021;7;18/04/2021;55;€;True;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;3
06/07/2021;7;18/04/2021;56;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;6
06/07/2021;7;18/04/2021;74;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;6
09/07/2021;7;18/04/2021;58;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;9
09/07/2021;7;18/04/2021;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;9
14/07/2021;7;18/04/2021;47;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14
17/07/2021;7;18/04/2021;81;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;17
24/07/2021;7;18/04/2021;60;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;24
24/07/2021;7;18/04/2021;66;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;24
25/07/2021;7;18/04/2021;60;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25
25/07/2021;7;18/04/2021;66;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25
28/07/2021;7;18/04/2021;37;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;28
29/07/2021;7;18/04/2021;56;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
29/07/2021;7;18/04/2021;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
31/07/2021;7;18/04/2021;59;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;31
31/07/2021;7;18/04/2021;96;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;31
01/08/2021;8;18/04/2021;59;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;1
01/08/2021;8;18/04/2021;66;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;1
04/08/2021;8;18/04/2021;38;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;4
07/08/2021;8;18/04/2021;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;7
12/08/2021;8;18/04/2021;67;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;12
12/08/2021;8;18/04/2021;74;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;12
13/08/2021;8;18/04/2021;70;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;13
13/08/2021;8;18/04/2021;122;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;13
15/08/2021;8;18/04/2021;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;15
20/08/2021;8;18/04/2021;75;€;True;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;20
22/08/2021;8;18/04/2021;45;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;22
25/08/2021;8;18/04/2021;37;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25
29/08/2021;8;18/04/2021;47;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
01/06/2021;6;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;1
02/06/2021;6;18/04/2021;64;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;2
03/06/2021;6;18/04/2021;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;3
04/06/2021;6;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;4
05/06/2021;6;18/04/2021;101;€;False;KLM;DUS;VLC;Düsseldorf;Alemania;Valencia;5
06/06/2021;6;18/04/2021;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;6
07/06/2021;6;18/04/2021;105;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;7
08/06/2021;6;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;8
09/06/2021;6;18/04/2021;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;9
10/06/2021;6;18/04/2021;71;€;False;Alitalia;DUS;VLC;Düsseldorf;Alemania;Valencia;10
10/06/2021;6;18/04/2021;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;10
11/06/2021;6;18/04/2021;71;€;False;Alitalia;DUS;VLC;Düsseldorf;Alemania;Valencia;11
11/06/2021;6;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;11
13/06/2021;6;18/04/2021;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;13
14/06/2021;6;18/04/2021;67;€;False;Corendon Airlines Europe;DUS;VLC;Düsseldorf;Alemania;Valencia;14
14/06/2021;6;18/04/2021;101;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;14
15/06/2021;6;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;15
16/06/2021;6;18/04/2021;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;16
17/06/2021;6;18/04/2021;71;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;17
18/06/2021;6;18/04/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;18
19/06/2021;6;18/04/2021;87;€;False;Iberia;DUS;VLC;Düsseldorf;Alemania;Valencia;19
20/06/2021;6;18/04/2021;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;20
21/06/2021;6;18/04/2021;74;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;21
21/06/2021;6;18/04/2021;92;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;21
22/06/2021;6;18/04/2021;73;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;22
23/06/2021;6;18/04/2021;53;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;23
24/06/2021;6;18/04/2021;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;24
25/06/2021;6;18/04/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;25
26/06/2021;6;18/04/2021;106;€;False;KLM;DUS;VLC;Düsseldorf;Alemania;Valencia;26
27/06/2021;6;18/04/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;27
28/06/2021;6;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;28
29/06/2021;6;18/04/2021;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;29
30/06/2021;6;18/04/2021;55;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;30
01/07/2021;7;18/04/2021;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;1
02/07/2021;7;18/04/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;2
04/07/2021;7;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;4
05/07/2021;7;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;5
06/07/2021;7;18/04/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;6
07/07/2021;7;18/04/2021;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;7
08/07/2021;7;18/04/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;8
09/07/2021;7;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;9
10/07/2021;7;18/04/2021;98;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;10
11/07/2021;7;18/04/2021;75;€;False;Corendon Airlines Europe;DUS;VLC;Düsseldorf;Alemania;Valencia;11
11/07/2021;7;18/04/2021;105;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;11
12/07/2021;7;18/04/2021;99;€;False;easyJet;DUS;VLC;Düsseldorf;Alemania;Valencia;12
12/07/2021;7;18/04/2021;105;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;12
13/07/2021;7;18/04/2021;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;13
14/07/2021;7;18/04/2021;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;14
15/07/2021;7;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;15
16/07/2021;7;18/04/2021;105;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;16
18/07/2021;7;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;18
19/07/2021;7;18/04/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;19
20/07/2021;7;18/04/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;20
21/07/2021;7;18/04/2021;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;21
