Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen;Ciudad de destino;Dia
2021-06-01;6;2021-04-26;55;€;True;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;01
2021-06-02;6;2021-04-26;56;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;02
2021-06-02;6;2021-04-26;130;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;02
2021-06-03;6;2021-04-26;50;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;03
2021-06-03;6;2021-04-26;130;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;03
2021-06-04;6;2021-04-26;45;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;04
2021-06-04;6;2021-04-26;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;04
2021-06-07;6;2021-04-26;16;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;07
2021-06-12;6;2021-04-26;16;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;12
2021-06-14;6;2021-04-26;17;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14
2021-06-16;6;2021-04-26;44;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;16
2021-06-16;6;2021-04-26;58;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;16
2021-06-18;6;2021-04-26;34;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;18
2021-06-18;6;2021-04-26;68;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;18
2021-06-19;6;2021-04-26;16;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;19
2021-06-21;6;2021-04-26;16;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;21
2021-06-26;6;2021-04-26;16;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;26
2021-06-28;6;2021-04-26;26;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;28
2021-06-29;6;2021-04-26;50;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
2021-06-29;6;2021-04-26;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;29
2021-06-30;6;2021-04-26;46;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30
2021-06-30;6;2021-04-26;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30
2021-07-03;7;2021-04-26;42;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;03
2021-07-04;7;2021-04-26;46;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;04
2021-07-05;7;2021-04-26;42;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;05
2021-07-10;7;2021-04-26;47;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10
2021-07-14;7;2021-04-26;56;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14
2021-07-17;7;2021-04-26;70;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;17
2021-07-17;7;2021-04-26;75;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;17
2021-07-18;7;2021-04-26;61;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;18
