Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen;Ciudad de destino;Dia
2021-07-01;7;2021-06-24;58;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;01
2021-07-01;7;2021-06-24;125;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;01
2021-07-02;7;2021-06-24;66;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;02
2021-07-02;7;2021-06-24;119;€;True;Condor;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;02
2021-07-03;7;2021-06-24;36;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;03
2021-07-03;7;2021-06-24;42;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;03
2021-07-04;7;2021-06-24;36;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;04
2021-07-05;7;2021-06-24;34;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;05
2021-07-05;7;2021-06-24;45;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;05
2021-07-06;7;2021-06-24;34;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;06
2021-07-06;7;2021-06-24;114;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;06
2021-07-07;7;2021-06-24;24;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;07
2021-07-08;7;2021-06-24;32;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;08
2021-07-08;7;2021-06-24;92;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;08
2021-07-09;7;2021-06-24;52;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;09
2021-07-09;7;2021-06-24;116;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;09
2021-07-10;7;2021-06-24;19;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10
2021-07-11;7;2021-06-24;31;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;11
